Feature,Frequency,nr_sampls_obsed_in
69b770933d592876e413831225b872e7,14,1
afdd0b6c0c589da119e7076d928f665f,13,1
88ab6dd4b4f3305acebc9a0f786f598a,13,1
d5f6d92403fd6bebfa56bc40b8bc9f7c,13,1
dc5985f4e156e3fa9d795b7da689f46f,13,1
bfb8bafe4bfd84c9a815c437ec06fc63,13,1
3822b9f608ea64ed4eac5fd8672be2ae,13,1
8ef66e97d53239e858744e42168c83f7,13,1
f3a4e03f7f98ed351754ac2072e5952f,13,1
029face7d039d7fa3d3e463b2e0fd43d,12,1
c3b63a42674e8a7f4e3f8f947d66fd2c,12,1
2680ff4d699cbe0ccca285df27d9b8d8,12,1
2b7bd7516b051ee907c3bb61aa490e7f,12,1
15097fd0313f821e1a18eff115ba4688,12,1
34695675c2a8c2b8dfbc7e174fd0fb2c,12,1
c31fb564f22ba3e61e82cdab69d35349,11,1
a456029893a4f1523ac51de24f4cac6d,11,1
1715e736ff620ae43d8788465af5afd9,11,1
802e494633a87690cd36bab36fb7fe76,11,1
c9369e8c42d282eafbddd43e014f9a45,11,1
40755007ea5aee4e73ccb8e070c25997,11,1
5e1680bd0acf5fa5c245f218c823a437,11,1
21773e4438941d3ebc12fef4c60d09fd,11,1
bcb567c40919a164e10f74056d260849,11,1
f082396ca9ca13f6ce245679f14e7c4a,11,1
62211eb59f4233219d4ec258684ca1e0,11,1
dd52a626733a634bef62cc7446f3af0e,11,1
4b60e85b44ea6d963171701948fa5738,11,1
21a78bbeeef6f616e3ee0ae1b9b28637,10,1
7ef61b5008854bac9b606586a8ca8724,10,1
79edcaa98bfb8fb0d0ab9c859870023e,10,1
9ebc4b700c0b43491583aaaeed1ab695,10,1
bdac618f6b131b0268524b050ac3fd85,10,1
d95f20ca22c871fdfd007dd04e2fecc1,10,1
a13e946bcfb9a39f31cd0d3329bf16d0,10,1
f48e0098eee107734384d14182203b84,9,1
529522c34eef6ef4477d9daa0a65bb6c,9,1
dbf2aca1bdeb1bfa1d51e7ca2c0b2fc4,9,1
4b6d0f32a5b4ff535d2939c5aa874418,9,1
7cc8b48a5707a3076d2e059f55cbfb49,9,1
702314aa8e9d45b3bf063169060f805d,9,1
f35b71da6839c8d6a87a4bec914a02bc,9,1
29fe1c8ffce631e3b86e1b90ece320d9,9,1
50a4c9cbb80f448e1405c6a77d157a9c,9,1
9da6c44c751696a94e406f218acb0976,9,1
4cf05c2c773187a18f17016856d1d3c6,9,1
15ca97b7fb149c47d560710728339fa7,8,1
7e01f4d23526faafe554125384a98984,8,1
882f1f0e866753aaf88e19d4c9162b2b,8,1
94e149efb87f864b1591b3a6b335f471,8,1
026a3094160fd9af2664cb130a04046e,8,1
f97c994a3368b58997277b367a3c1ab1,8,1
c699be5bf8600582bc4e77f93ce3134f,8,1
7c246c81823cee0d87e469b2772ecb3b,8,1
b6289c8879c45d87444103aaaa845669,8,1
4f6500c299435637ee5a3ec92509cb86,8,1
1ee2833a638ed06e7b13c7d7a964986b,8,1
e77a88e587acecb8d863fc89ad460da6,7,1
df7b2da727f2746fba6bbcad70483b1c,7,1
0871f020d43b7daeac3e2e94e5ebce08,7,1
ac6c534d17fbe28ff00331c0fe0e8051,7,1
4cd27191ae8ac3cb1d7fe28b1f0a9874,7,2
5e35ebb3841f10730e8925f36f847281,7,1
a9d448a757798660216bcf281854e014,6,1
0f5f3943cacbf31fec46fd68e38bfd32,6,1
40aaf3c3bef5a586ef2e03416f7d2ed6,6,1
09e5f1760dc46f42b9e9645d9285ab85,6,1
0fdb4360038c4ad936f75cf9d476f5f8,6,1
7393be26f469eabd310be632bdfbed16,6,1
b2dadad47c671cabe0982171f50cb747,6,1
7dd569a6aad2696d46bf5a79330a3883,6,1
b61886b9c55655e3a1b89f24cc5d2218,6,1
b657f692e51fee8ffb1055b47de56696,6,1
1cb87bea5728e310cd5a16bf9772ed4f,6,1
94414f76e82b02c706935ddc77f43f76,5,3
61493c7ca4262c3675b6372faec30edd,5,1
a3159a69d86bf63458303bf7b82a43cb,5,1
0a3fabdea40ebf72547de064ba8c62cb,5,1
59cb88c1962b4cbc103775c5ddad3839,5,1
1b517f6ed269c4516f2cc4c6fca1a0a0,5,1
5c78420a3eebfa0c75ea387ed92d05d2,4,1
7e161c0b7ab5bf83bd5b49fed4fd40ce,4,1
eaeaf158d060e4470b367b547b9a8755,4,1
b0fc3b9d9e967ac49ff7e0e6a36b6040,4,1
1c6a936e8dc280042f21877f259acdf9,4,1
ee1dc19183b7584e7bee200bca48b504,4,1
07397d0e138c44d0198071ddf9f6c2fe,4,1
d43801d90863def09d8879a94792ce1e,4,1
eb2ce2400abe45701f47b722246ae9f7,3,1
9d5d618a3a025207e2113f8fed5ff6c7,3,1
787946a7774e08694b0a33877f1e8c08,3,1
c8ccd7f83271f53c84f419be580032c8,3,1
ac7c8d0533c90f9e4254f6fbc720faf1,3,1
7db9dfbe3819e36a8831eb4bfa2ebe44,3,1
06d211abaa2c03920699ab4f5a550267,3,1
bc2b7a4a02eac13b5c5a4682c8abc192,3,1
f83867f825f7489d018d8375516c0842,3,1
496b41d4ee6fc84f4cbb560b454a01a4,3,1
99ebc17ac65f6a3227771c8f4f2a5442,3,1
6216afdf1df3795c87ef2d6ace8e9a7c,3,1
45f7a1c5e81e5c9350276ef20d57b01d,3,1
df53994137a577a4ae2daecded99ccef,2,1
5ef8c1a4e1c2d8bd52a679b8cdce7caf,2,1
d95e985cbe44b619dd9818c0fcd720b5,2,1
77d77f75a1d7c824d6fe611754cbd65f,2,1
f3d61189e9681305064eb5bf37a7881d,2,1
18890e40c7231f0873db4c71d3d70dab,2,1
0316c27d7c83ed2e45d7b7d57b4368dc,2,1
53f0f2d56a0d14fd7d93f29c73c9344b,2,1
eae35aa97265e0ad18bee6e8fb4728e9,2,1
00dc967f46620733eb8b08b8954dc119,2,1
b4ad7f1059697da8c4aa140ee3f353e6,2,1
